session_id,idx,time_ms,map_id,position_x,position_y,position_z
Analytics_Data_Attempt_1,11710,242000,Cidades-Inteligentes-02-Periferia,-1.77,-98.56,15.94
Analytics_Data_Attempt_1,11810,243000,Cidades-Inteligentes-02-Periferia,3.86,-98.56,16.07
Analytics_Data_Attempt_1,11924,244000,Cidades-Inteligentes-02-Periferia,4.2,-98.56,17.88
Analytics_Data_Attempt_1,12039,245000,Cidades-Inteligentes-02-Periferia,-1.94,-98.56,16.69
Analytics_Data_Attempt_1,12136,246000,Cidades-Inteligentes-02-Periferia,-1.95,-98.56,17.86
Analytics_Data_Attempt_1,12245,247000,Cidades-Inteligentes-02-Periferia,3.32,-98.56,17.5
Analytics_Data_Attempt_1,12356,248000,Cidades-Inteligentes-02-Periferia,11.0,-98.56,15.95
Analytics_Data_Attempt_1,12457,249000,Cidades-Inteligentes-02-Periferia,11.65,-98.56,22.03
Analytics_Data_Attempt_1,12562,250000,Cidades-Inteligentes-02-Periferia,11.14,-98.56,30.97
Analytics_Data_Attempt_1,12666,251000,Cidades-Inteligentes-02-Periferia,10.83,-98.56,25.95
Analytics_Data_Attempt_1,12775,252000,Cidades-Inteligentes-02-Periferia,9.51,-98.56,19.07
Analytics_Data_Attempt_1,12892,253000,Cidades-Inteligentes-02-Periferia,4.41,-98.56,15.1
Analytics_Data_Attempt_1,13007,254000,Cidades-Inteligentes-02-Periferia,-0.28,-98.56,12.13
Analytics_Data_Attempt_1,13077,255000,Cidades-Inteligentes-02-Periferia,-1.91,-98.56,12.12
Analytics_Data_Attempt_1,13188,256000,Cidades-Inteligentes-02-Periferia,1.08,-98.56,14.23
Analytics_Data_Attempt_1,13306,257000,Cidades-Inteligentes-02-Periferia,8.67,-98.56,17.88
Analytics_Data_Attempt_1,13418,258000,Cidades-Inteligentes-02-Periferia,13.29,-98.56,18.46
Analytics_Data_Attempt_1,13524,259000,Cidades-Inteligentes-02-Periferia,21.66,-98.56,17.4
Analytics_Data_Attempt_1,13625,260000,Cidades-Inteligentes-02-Periferia,27.38,-98.56,17.9
Analytics_Data_Attempt_1,13726,261000,Cidades-Inteligentes-02-Periferia,34.39,-98.56,17.9
Analytics_Data_Attempt_1,13818,262000,Cidades-Inteligentes-02-Periferia,37.72,-98.56,16.84
Analytics_Data_Attempt_1,13923,263000,Cidades-Inteligentes-02-Periferia,43.29,-98.56,17.21
Analytics_Data_Attempt_1,14034,264000,Cidades-Inteligentes-02-Periferia,52.19,-98.56,16.39
Analytics_Data_Attempt_1,14146,265000,Cidades-Inteligentes-02-Periferia,61.0,-98.56,16.22
Analytics_Data_Attempt_1,14257,266000,Cidades-Inteligentes-02-Periferia,69.11,-98.56,12.89
Analytics_Data_Attempt_1,14368,267000,Cidades-Inteligentes-02-Periferia,70.22,-98.46,4.01
Analytics_Data_Attempt_1,14479,268000,Cidades-Inteligentes-02-Periferia,70.58,-98.46,-4.84
Analytics_Data_Attempt_1,14596,269000,Cidades-Inteligentes-02-Periferia,67.67,-98.56,-13.74
Analytics_Data_Attempt_1,14710,270000,Cidades-Inteligentes-02-Periferia,66.04,-98.56,-14.76
Analytics_Data_Attempt_1,14764,271000,Cidades-Inteligentes-02-Periferia,66.23,-98.56,-14.22
Analytics_Data_Attempt_1,14824,272000,Cidades-Inteligentes-02-Periferia,66.94,-98.56,-13.81
Analytics_Data_Attempt_1,14953,273000,Cidades-Inteligentes-02-Periferia,66.77,-98.56,-16.25
Analytics_Data_Attempt_1,15074,274000,Cidades-Inteligentes-02-Periferia,69.38,-98.56,-14.97
Analytics_Data_Attempt_1,15187,275000,Cidades-Inteligentes-02-Periferia,72.27,-98.56,-16.22
Analytics_Data_Attempt_1,15239,276000,Cidades-Inteligentes-02-Periferia,74.46,-98.56,-14.72
Analytics_Data_Attempt_1,15334,277000,Cidades-Inteligentes-02-Periferia,68.47,-98.56,-15.45
Analytics_Data_Attempt_1,15435,278000,Cidades-Inteligentes-02-Periferia,69.2,-98.56,-17.64
Analytics_Data_Attempt_1,15538,279000,Cidades-Inteligentes-02-Periferia,68.5,-98.56,-16.17
Analytics_Data_Attempt_1,15643,280000,Cidades-Inteligentes-02-Periferia,64.14,-98.56,-20.04
Analytics_Data_Attempt_1,15759,281000,Cidades-Inteligentes-02-Periferia,64.33,-98.97,-25.37
Analytics_Data_Attempt_1,15900,282000,Cidades-Inteligentes-02-Periferia,65.89,-99.49,-26.27
Analytics_Data_Attempt_1,15990,283000,Cidades-Inteligentes-02-Periferia,64.03,-99.58,-26.57
Analytics_Data_Attempt_1,16076,284000,Cidades-Inteligentes-02-Periferia,63.51,-99.65,-27.34
Analytics_Data_Attempt_1,16178,285000,Cidades-Inteligentes-02-Periferia,62.21,-99.9,-26.99
Analytics_Data_Attempt_1,16282,286000,Cidades-Inteligentes-02-Periferia,62.26,-99.85,-27.0
Analytics_Data_Attempt_1,16381,287000,Cidades-Inteligentes-02-Periferia,60.95,-100.52,-30.41
Analytics_Data_Attempt_1,16495,288000,Cidades-Inteligentes-02-Periferia,62.93,-100.69,-37.56
Analytics_Data_Attempt_1,16604,289000,Cidades-Inteligentes-02-Periferia,62.64,-100.39,-46.24
Analytics_Data_Attempt_1,16709,290000,Cidades-Inteligentes-02-Periferia,63.03,-98.5,-54.93
Analytics_Data_Attempt_1,16802,291000,Cidades-Inteligentes-02-Periferia,61.71,-98.5,-63.66
Analytics_Data_Attempt_1,16911,292000,Cidades-Inteligentes-02-Periferia,64.29,-98.5,-68.52
Analytics_Data_Attempt_1,16963,293000,Cidades-Inteligentes-02-Periferia,65.21,-98.5,-67.92
Analytics_Data_Attempt_1,17063,294000,Cidades-Inteligentes-02-Periferia,65.52,-98.5,-67.94
Analytics_Data_Attempt_1,17133,295000,Cidades-Inteligentes-02-Periferia,68.09,-98.5,-63.2
Analytics_Data_Attempt_1,17209,296000,Cidades-Inteligentes-02-Periferia,69.77,-98.5,-67.16
Analytics_Data_Attempt_1,17319,297000,Cidades-Inteligentes-02-Periferia,67.08,-98.5,-71.86
Analytics_Data_Attempt_1,17377,298000,Cidades-Inteligentes-02-Periferia,64.6,-98.5,-71.44
Analytics_Data_Attempt_1,17399,299000,Cidades-Inteligentes-02-Periferia,64.39,-98.5,-71.28
Analytics_Data_Attempt_1,17514,300000,Cidades-Inteligentes-02-Periferia,57.8,-98.5,-65.94
Analytics_Data_Attempt_1,17632,301000,Cidades-Inteligentes-02-Periferia,52.59,-98.58,-58.59
Analytics_Data_Attempt_1,17749,302000,Cidades-Inteligentes-02-Periferia,46.99,-98.88,-51.53
Analytics_Data_Attempt_1,17867,303000,Cidades-Inteligentes-02-Periferia,40.36,-99.83,-45.61
Analytics_Data_Attempt_1,17910,304000,Cidades-Inteligentes-02-Periferia,39.23,-99.99,-44.63
Analytics_Data_Attempt_1,17975,307000,Cidades-Inteligentes-02-Periferia,37.97,-99.98,-42.9
Analytics_Data_Attempt_1,18040,308000,Cidades-Inteligentes-02-Periferia,34.32,-99.95,-44.11
Analytics_Data_Attempt_1,18147,309000,Cidades-Inteligentes-02-Periferia,37.76,-99.99,-43.54
